age,gender,Mobile Phone risk rating,blue collar or white collar,Doing Sports,education,Vacations,phone price
42,Female,2,0,0,Master’s degree,8,0

64,Male,5,0,0,Associate degree,1,1

35,Male,7,1,1,Associate degree,3,1

26,Male,6,1,0,Doctoral degree,2,1

73,Female,4,0,0,High school diploma or equivalent,1,1

59,Female,1,0,1,Bachelor’s degree,1,0

22,Female,6,0,0,Master’s degree,5,1

41,Male,8,1,1,High school diploma or equivalent,8,0

45,Male,9,1,0,Less than high school,5,1

41,Male,4,0,0,Associate degree,6,0

63,Female,4,1,0,Associate degree,9,0

21,Female,6,1,1,Bachelor’s degree,9,0

46,Female,7,1,1,High school diploma or equivalent,0,0

66,Male,6,0,0,Doctoral degree,9,1

53,Male,7,1,0,Associate degree,6,1

31,Male,9,0,1,Less than high school,6,1

77,Male,5,0,0,Bachelor’s degree,1,1

43,Male,6,1,0,Less than high school,8,0

18,Female,6,0,1,Bachelor’s degree,0,1

54,Male,9,1,0,"Some college, no degree",6,1

63,Female,8,1,0,Less than high school,6,1

34,Male,3,0,0,Bachelor’s degree,5,0

50,Female,3,0,0,Master’s degree,5,0

37,Female,6,1,1,"Some college, no degree",7,0

49,Male,6,1,0,"Some college, no degree",1,1

35,Female,4,0,0,"Some college, no degree",1,1

71,Female,5,0,1,Associate degree,5,0

19,Male,9,1,1,High school diploma or equivalent,6,0

33,Female,6,1,1,Master’s degree,6,0

76,Male,5,0,0,High school diploma or equivalent,7,0

23,Male,8,0,1,High school diploma or equivalent,1,1

19,Female,6,0,0,"Some college, no degree",4,1

66,Female,9,1,1,"Some college, no degree",0,1

42,Female,6,1,0,"Some college, no degree",2,1

72,Female,7,0,0,Less than high school,8,1

41,Male,7,0,1,Associate degree,1,1

26,Female,4,0,1,Associate degree,8,0

36,Female,7,1,1,Associate degree,3,1

67,Male,7,1,1,Less than high school,8,0

21,Female,5,0,1,Associate degree,9,0

53,Female,6,0,1,Master’s degree,3,1

18,Male,7,1,0,"Some college, no degree",1,1

18,Male,9,1,1,"Some college, no degree",5,0

39,Male,9,1,1,Master’s degree,7,1

18,Male,9,0,0,Less than high school,6,1

50,Male,4,1,0,Master’s degree,6,0

24,Male,6,1,0,"Some college, no degree",8,0

34,Female,2,1,0,Doctoral degree,3,0

38,Male,6,0,1,Doctoral degree,8,0

43,Female,5,1,0,Master’s degree,4,1

63,Female,5,0,1,Doctoral degree,2,1

30,Male,4,0,0,Less than high school,5,0

69,Female,10,1,1,"Some college, no degree",8,1

51,Male,6,0,0,High school diploma or equivalent,4,1

64,Female,4,1,1,Associate degree,4,0

23,Male,9,1,1,Doctoral degree,5,1

73,Female,5,0,0,Master’s degree,6,1

48,Male,2,1,0,Bachelor’s degree,3,0

39,Male,6,0,0,High school diploma or equivalent,3,1

52,Male,5,0,0,High school diploma or equivalent,8,0

73,Male,2,0,0,"Some college, no degree",2,0

31,Male,3,0,0,Less than high school,2,0

24,Female,4,1,0,Associate degree,0,1

46,Male,7,0,0,Doctoral degree,5,1

61,Female,4,0,1,Less than high school,2,0

69,Male,3,1,0,Master’s degree,0,0

41,Female,4,0,0,Doctoral degree,4,1

58,Male,7,0,0,Associate degree,9,1

21,Male,10,1,1,Master’s degree,7,1

57,Male,7,1,1,Associate degree,5,0

37,Female,4,0,1,Less than high school,2,0

52,Female,5,1,0,Bachelor’s degree,3,1

46,Male,2,0,0,Master’s degree,3,0

37,Male,9,1,0,"Some college, no degree",5,1

59,Female,8,0,1,Master’s degree,6,1

37,Male,6,1,0,Master’s degree,4,1

27,Female,2,0,1,Master’s degree,1,0

75,Female,2,1,0,"Some college, no degree",4,0

31,Female,5,1,0,Less than high school,3,1

56,Male,6,1,1,"Some college, no degree",0,0

66,Female,8,1,0,High school diploma or equivalent,8,1

57,Male,5,1,0,Doctoral degree,2,1

66,Female,8,0,1,Doctoral degree,9,1

64,Female,3,0,0,Bachelor’s degree,9,0

24,Male,4,0,0,Associate degree,2,1

73,Female,3,0,0,Master’s degree,2,1

59,Male,5,1,0,Bachelor’s degree,8,0

77,Female,4,0,0,Less than high school,8,0

67,Female,9,1,1,High school diploma or equivalent,8,1

66,Female,4,1,1,Master’s degree,1,0

57,Male,9,0,1,"Some college, no degree",7,1

63,Female,3,0,0,Bachelor’s degree,7,0

67,Female,3,1,0,"Some college, no degree",4,0

24,Female,3,1,0,High school diploma or equivalent,4,0

29,Male,7,1,1,Doctoral degree,2,1

18,Male,4,1,0,Less than high school,4,0

51,Female,1,0,0,High school diploma or equivalent,3,0

45,Male,3,0,0,Associate degree,6,0

64,Male,7,0,0,Bachelor’s degree,5,1

53,Female,6,1,1,Master’s degree,4,1

51,Female,6,1,0,Master’s degree,8,1

70,Male,5,1,0,Doctoral degree,6,0

36,Male,6,1,0,Associate degree,2,1

74,Female,5,0,0,"Some college, no degree",1,1

38,Male,11,1,1,High school diploma or equivalent,9,1

64,Female,2,0,0,Associate degree,9,0

24,Male,3,1,0,Bachelor’s degree,1,0

35,Female,0,0,0,Bachelor’s degree,1,0

72,Male,9,0,1,Doctoral degree,5,1

56,Male,2,0,0,Associate degree,0,0

30,Female,7,1,1,Doctoral degree,2,1

19,Female,6,1,0,"Some college, no degree",1,1

23,Female,2,1,0,Doctoral degree,4,0

55,Male,3,0,0,Master’s degree,8,0

70,Female,0,0,0,Associate degree,3,0

47,Male,8,0,1,Less than high school,3,1

61,Male,10,1,1,Bachelor’s degree,7,1

28,Female,9,1,1,Master’s degree,9,1

59,Male,10,0,1,High school diploma or equivalent,8,1

42,Female,7,1,0,Bachelor’s degree,7,1

24,Female,5,0,1,Doctoral degree,6,0

31,Female,4,0,1,Bachelor’s degree,5,0

45,Male,4,0,0,Associate degree,0,1

54,Female,6,0,1,High school diploma or equivalent,7,0

30,Female,4,1,1,"Some college, no degree",3,0

23,Male,5,1,0,Associate degree,3,1

29,Male,6,1,1,Bachelor’s degree,6,0

26,Female,5,1,1,Less than high school,1,0

48,Female,4,1,1,Master’s degree,3,0

68,Male,4,0,1,"Some college, no degree",3,0

76,Female,4,1,0,Master’s degree,1,1

22,Female,6,1,0,Doctoral degree,2,1

24,Male,8,0,1,"Some college, no degree",0,1

34,Male,3,0,1,Associate degree,4,0

75,Male,6,1,0,High school diploma or equivalent,6,0

59,Male,6,1,0,Doctoral degree,1,1

45,Female,7,1,1,Master’s degree,2,1

22,Female,4,0,1,"Some college, no degree",4,0

32,Male,7,1,1,"Some college, no degree",8,0

40,Female,6,1,0,Doctoral degree,6,1

55,Male,7,1,0,Associate degree,9,1

40,Male,4,0,1,Doctoral degree,4,0

74,Female,1,0,0,Associate degree,1,0

28,Female,7,1,0,Bachelor’s degree,8,1

66,Male,5,0,0,High school diploma or equivalent,8,0

47,Female,4,1,1,Master’s degree,2,0

31,Female,7,1,1,Less than high school,8,0

46,Female,5,0,1,Master’s degree,5,0

65,Female,3,1,1,Doctoral degree,2,0

40,Male,9,1,0,Less than high school,6,1

26,Male,7,0,0,Less than high school,5,1

27,Male,7,1,1,High school diploma or equivalent,8,0

73,Male,5,1,1,"Some college, no degree",1,0

26,Female,6,0,0,Less than high school,5,1

20,Female,3,0,0,Doctoral degree,6,0

52,Female,6,1,1,High school diploma or equivalent,5,0

55,Female,7,1,1,Less than high school,7,0

59,Female,7,1,1,"Some college, no degree",3,1

70,Male,2,0,0,Associate degree,3,0

55,Male,6,0,0,Less than high school,1,1

22,Male,7,0,1,High school diploma or equivalent,9,0

54,Male,8,0,1,Bachelor’s degree,5,1

40,Male,5,1,0,Doctoral degree,4,1

21,Female,9,1,0,High school diploma or equivalent,8,1

31,Male,10,1,1,High school diploma or equivalent,7,1

66,Female,5,1,0,High school diploma or equivalent,6,0

63,Female,7,1,0,"Some college, no degree",5,1

51,Male,6,0,1,Master’s degree,5,0

37,Male,8,0,1,Doctoral degree,9,1

60,Male,8,1,1,"Some college, no degree",3,1

26,Female,0,0,0,Bachelor’s degree,1,0

39,Female,4,0,1,Associate degree,8,0

62,Male,5,1,0,Associate degree,3,1

19,Female,2,0,0,Doctoral degree,4,0

66,Male,3,0,0,"Some college, no degree",1,0

51,Male,5,1,1,Less than high school,3,0

74,Male,10,1,1,"Some college, no degree",8,1

65,Male,4,0,0,Doctoral degree,2,1

50,Female,2,1,0,Associate degree,3,0

66,Male,5,0,1,"Some college, no degree",1,0

67,Male,3,0,0,Master’s degree,7,0

23,Female,6,1,1,High school diploma or equivalent,8,0

56,Male,9,0,1,Associate degree,5,1

58,Female,2,1,0,High school diploma or equivalent,2,0

36,Male,5,1,0,Doctoral degree,5,0

49,Female,2,0,1,Doctoral degree,1,0

40,Male,6,1,1,Master’s degree,7,0

67,Male,6,0,1,High school diploma or equivalent,5,0

66,Female,7,0,1,Doctoral degree,5,1

29,Male,5,1,1,Bachelor’s degree,3,0

50,Female,2,0,1,Doctoral degree,2,0

47,Female,9,1,1,High school diploma or equivalent,8,1

50,Female,2,0,0,"Some college, no degree",0,0

52,Male,5,0,1,Associate degree,9,0

47,Female,6,1,1,Associate degree,5,0

53,Female,6,0,0,Bachelor’s degree,9,1

60,Female,8,1,0,Less than high school,9,1

21,Male,3,0,0,High school diploma or equivalent,0,0

66,Male,5,0,1,Master’s degree,7,0

57,Female,7,1,0,"Some college, no degree",7,1

39,Male,7,0,0,High school diploma or equivalent,6,1

53,Female,3,0,0,Bachelor’s degree,4,1

50,Male,5,0,0,Less than high school,1,1

40,Female,3,0,0,Associate degree,6,0

38,Female,4,0,0,Master’s degree,3,1

47,Male,4,0,1,Associate degree,4,0

76,Male,5,0,1,"Some college, no degree",2,0

40,Female,3,0,0,Master’s degree,7,0

20,Male,7,0,1,Associate degree,8,0

30,Male,5,0,1,Less than high school,2,0

19,Male,9,1,1,High school diploma or equivalent,9,0

65,Female,6,0,1,Master’s degree,0,1

23,Male,2,1,0,Master’s degree,1,0

64,Male,4,0,1,"Some college, no degree",0,0

71,Female,4,1,0,Associate degree,6,0

40,Female,2,0,1,Associate degree,1,0

66,Female,8,0,1,Doctoral degree,7,1

62,Male,5,1,0,High school diploma or equivalent,6,0

29,Female,3,0,1,Less than high school,3,0

71,Female,0,0,0,Associate degree,3,0

58,Male,6,0,1,High school diploma or equivalent,8,0

74,Female,6,1,1,Doctoral degree,7,0

18,Female,6,0,0,Associate degree,5,1

49,Male,6,1,0,Bachelor’s degree,4,1

70,Female,0,0,0,Associate degree,4,0

71,Male,7,0,1,"Some college, no degree",9,0

67,Male,8,0,1,Master’s degree,7,1

49,Female,5,1,1,"Some college, no degree",0,0

30,Female,4,0,1,Associate degree,9,0

38,Female,2,1,0,Doctoral degree,3,0

73,Male,6,1,1,"Some college, no degree",1,0

42,Male,3,1,0,Associate degree,2,0

43,Male,6,1,1,Less than high school,1,0

75,Female,4,1,1,Less than high school,0,0

25,Male,5,0,0,Less than high school,1,1

32,Male,8,0,0,Less than high school,6,1

46,Male,5,0,0,Less than high school,6,0

20,Male,8,1,1,Bachelor’s degree,3,1

48,Male,4,0,0,Doctoral degree,0,1

22,Male,9,1,1,Less than high school,4,1

42,Male,4,1,0,"Some college, no degree",4,0

64,Male,2,0,0,"Some college, no degree",3,0

24,Male,2,0,0,High school diploma or equivalent,4,0

73,Male,6,1,0,"Some college, no degree",4,1

20,Male,8,1,0,High school diploma or equivalent,1,1

50,Female,8,0,1,"Some college, no degree",9,1

69,Female,9,0,1,High school diploma or equivalent,8,1

22,Male,7,1,0,High school diploma or equivalent,5,0

54,Male,3,1,0,Master’s degree,0,0

65,Male,3,0,0,High school diploma or equivalent,2,0

20,Female,4,0,1,Doctoral degree,3,0

34,Female,9,1,1,Doctoral degree,6,1

49,Female,7,0,0,"Some college, no degree",9,1

52,Female,3,0,0,Less than high school,5,0

31,Female,2,1,0,High school diploma or equivalent,3,0

77,Male,6,1,1,Associate degree,7,0

70,Male,3,1,0,"Some college, no degree",2,0

56,Male,4,1,1,Associate degree,1,0

53,Female,0,0,0,Associate degree,0,0

26,Female,9,1,1,Doctoral degree,5,1

67,Female,6,0,0,Less than high school,9,1

46,Female,2,1,0,Associate degree,0,0

69,Female,4,1,1,"Some college, no degree",1,0

51,Male,3,1,0,Bachelor’s degree,4,0

77,Female,5,1,0,High school diploma or equivalent,0,1

37,Female,6,1,1,"Some college, no degree",7,0

22,Female,6,0,0,Master’s degree,8,1

26,Female,7,0,0,High school diploma or equivalent,9,1

60,Female,5,0,1,Bachelor’s degree,2,1

71,Male,8,1,0,Less than high school,7,1

31,Male,5,0,0,"Some college, no degree",4,1

33,Female,4,0,1,High school diploma or equivalent,2,0

27,Female,5,1,0,Associate degree,0,1

70,Female,5,0,1,Master’s degree,4,1

54,Male,7,1,1,High school diploma or equivalent,7,0

31,Female,5,0,0,Less than high school,3,1

62,Male,4,0,1,Doctoral degree,2,0

59,Female,6,1,1,Bachelor’s degree,6,0

68,Male,6,0,1,Master’s degree,8,0

42,Male,8,0,1,High school diploma or equivalent,4,1

47,Female,4,0,1,Doctoral degree,5,0

63,Female,9,1,1,Bachelor’s degree,6,1

29,Male,6,1,0,Doctoral degree,4,1

26,Female,10,1,1,"Some college, no degree",6,1

65,Male,5,0,1,High school diploma or equivalent,3,0

18,Male,8,1,1,Associate degree,4,1

43,Male,7,1,1,Bachelor’s degree,4,1

72,Female,4,1,1,Bachelor’s degree,2,0

29,Female,2,1,0,Less than high school,2,0

63,Female,4,1,1,Doctoral degree,3,0

19,Female,5,1,1,Doctoral degree,4,0

47,Male,11,1,1,"Some college, no degree",6,1

44,Male,2,0,0,"Some college, no degree",0,0

59,Male,4,0,0,Master’s degree,6,0

76,Female,7,1,0,Bachelor’s degree,8,1

29,Female,4,0,0,Less than high school,5,0

24,Male,6,0,0,Less than high school,2,1

34,Male,6,0,0,Associate degree,9,1

18,Female,6,1,1,Master’s degree,6,0

30,Female,5,1,0,Associate degree,1,1

54,Female,1,0,0,Associate degree,0,0

31,Male,4,0,1,High school diploma or equivalent,0,0

34,Female,9,1,1,High school diploma or equivalent,7,1

58,Male,8,0,0,"Some college, no degree",5,1

60,Female,7,0,1,Doctoral degree,9,1

34,Male,7,0,0,High school diploma or equivalent,8,1

46,Female,3,0,1,High school diploma or equivalent,2,0

72,Female,2,0,0,Less than high school,3,0

65,Male,3,1,0,Associate degree,3,0

29,Male,4,0,0,Associate degree,2,1

29,Male,6,1,0,High school diploma or equivalent,5,0

36,Female,6,1,1,Bachelor’s degree,1,1

67,Male,2,1,0,Master’s degree,0,0

40,Male,5,1,1,High school diploma or equivalent,1,0

61,Male,5,1,0,Doctoral degree,5,0

32,Male,9,1,1,Master’s degree,5,1

58,Male,1,0,0,Doctoral degree,4,0

22,Male,4,0,1,Master’s degree,0,0

64,Female,7,1,0,Master’s degree,9,1

27,Male,2,0,0,Associate degree,0,0

69,Male,3,0,0,Less than high school,2,0

46,Female,5,0,1,Master’s degree,1,1

25,Female,6,0,0,Less than high school,5,1

29,Female,4,0,0,Less than high school,1,1

29,Male,4,1,0,Less than high school,3,0

72,Female,8,0,1,Master’s degree,9,1

74,Female,5,0,1,Doctoral degree,8,0

77,Male,5,1,1,"Some college, no degree",2,0

67,Male,5,0,1,"Some college, no degree",1,0

20,Male,8,1,0,Bachelor’s degree,7,1

58,Male,3,0,0,Doctoral degree,6,0

34,Female,0,0,0,Doctoral degree,2,0

35,Female,6,0,0,Doctoral degree,7,1

47,Male,8,1,1,Master’s degree,0,1

69,Male,7,0,0,Associate degree,7,1

68,Female,4,0,0,Less than high school,4,1

45,Male,4,1,0,Doctoral degree,5,0

26,Female,6,1,1,Associate degree,0,1

31,Female,2,0,0,Master’s degree,9,0

62,Male,6,0,1,Doctoral degree,8,0

74,Male,4,1,0,Less than high school,1,0

28,Female,7,0,0,High school diploma or equivalent,8,1

47,Male,3,0,0,Associate degree,6,0

57,Female,7,0,1,Master’s degree,7,1

27,Male,10,1,1,High school diploma or equivalent,5,1

21,Male,3,1,0,Associate degree,1,0

42,Male,4,1,0,Associate degree,8,0

71,Female,8,1,1,Doctoral degree,5,1

37,Male,10,1,1,"Some college, no degree",6,1

49,Male,5,1,1,High school diploma or equivalent,0,0

41,Female,4,1,0,Master’s degree,6,0

76,Male,10,1,1,"Some college, no degree",5,1

46,Female,7,1,0,Less than high school,5,1

33,Male,7,1,1,High school diploma or equivalent,9,0

38,Male,8,0,1,Doctoral degree,6,1

70,Female,5,0,0,Doctoral degree,9,1

53,Male,8,1,0,High school diploma or equivalent,8,1

47,Male,8,1,1,Associate degree,2,1

42,Female,0,0,0,Associate degree,2,0

45,Female,3,1,1,Bachelor’s degree,4,0

50,Male,6,0,1,Bachelor’s degree,5,0

66,Male,7,0,0,Bachelor’s degree,8,1

58,Male,4,1,0,Bachelor’s degree,7,0

72,Male,5,1,1,"Some college, no degree",1,0

22,Male,5,1,0,High school diploma or equivalent,0,0

45,Male,8,0,1,Doctoral degree,6,1

74,Male,4,1,0,Doctoral degree,6,0

47,Male,4,0,0,Master’s degree,9,0

22,Female,4,0,1,Bachelor’s degree,0,0

44,Male,5,1,1,Associate degree,0,0

32,Female,5,1,0,Bachelor’s degree,3,1

52,Male,6,1,0,Doctoral degree,3,1

69,Female,5,0,1,Bachelor’s degree,1,1

19,Female,4,0,1,Master’s degree,0,0

51,Female,5,1,0,Less than high school,4,1

36,Female,6,0,1,Associate degree,2,1

65,Male,7,0,1,"Some college, no degree",9,0

43,Female,3,1,1,Bachelor’s degree,2,0

46,Female,4,1,1,Master’s degree,2,0

33,Female,10,1,1,Less than high school,8,1

45,Male,6,1,0,Doctoral degree,3,1

58,Male,6,0,0,Associate degree,9,1

26,Male,4,1,1,Associate degree,0,0

59,Male,5,1,0,Doctoral degree,5,0

68,Male,8,0,1,High school diploma or equivalent,0,1

54,Female,3,0,1,"Some college, no degree",4,0

67,Male,11,1,1,High school diploma or equivalent,6,1

20,Male,10,0,1,Associate degree,6,1

46,Female,7,0,0,"Some college, no degree",5,1

71,Male,8,1,1,"Some college, no degree",6,0

35,Female,5,0,0,High school diploma or equivalent,4,1

36,Male,10,1,1,Less than high school,9,1

32,Male,8,1,0,Doctoral degree,9,1

69,Male,6,0,0,Master’s degree,9,1

47,Male,6,0,0,"Some college, no degree",2,1

19,Female,4,0,0,Doctoral degree,3,1

30,Male,8,1,1,Less than high school,8,0

34,Male,6,1,1,Less than high school,4,0

73,Female,2,0,0,Bachelor’s degree,5,0

24,Female,9,0,1,"Some college, no degree",7,1

44,Male,1,0,0,Bachelor’s degree,3,0

51,Female,5,0,1,Doctoral degree,5,0

35,Male,9,1,1,Doctoral degree,6,1

35,Female,1,1,0,Master’s degree,3,0

51,Male,6,1,0,High school diploma or equivalent,7,0

21,Female,6,1,1,Master’s degree,8,0

74,Female,8,1,1,Doctoral degree,6,1

43,Female,5,0,1,Master’s degree,0,1

19,Male,7,0,0,Bachelor’s degree,6,1

74,Male,5,1,1,Associate degree,4,0

27,Male,5,1,0,Associate degree,8,0

65,Female,0,0,0,Doctoral degree,3,0

70,Female,1,0,0,Less than high school,0,0

25,Female,4,0,0,Master’s degree,0,1

34,Female,5,1,0,High school diploma or equivalent,9,0

36,Female,9,0,1,"Some college, no degree",6,1

25,Female,4,1,0,Bachelor’s degree,1,1

73,Female,3,0,0,Doctoral degree,2,1

37,Female,8,1,1,Bachelor’s degree,9,1

76,Female,3,1,0,High school diploma or equivalent,4,0

65,Female,7,0,0,High school diploma or equivalent,7,1

54,Female,5,1,0,Doctoral degree,4,1

21,Male,8,0,1,Less than high school,0,1

23,Male,4,1,1,Doctoral degree,2,0

52,Female,8,1,0,Less than high school,9,1

38,Male,6,0,0,Bachelor’s degree,6,1

70,Female,6,0,1,Less than high school,0,1

22,Female,9,0,1,"Some college, no degree",8,1

20,Female,5,1,1,"Some college, no degree",1,0

64,Female,7,0,1,Associate degree,7,1

24,Female,5,0,0,Associate degree,8,1

51,Female,4,1,0,Doctoral degree,2,1

71,Male,6,1,0,High school diploma or equivalent,6,0

62,Male,9,1,1,Less than high school,2,1

27,Female,5,1,0,Bachelor’s degree,3,1

26,Female,6,1,1,"Some college, no degree",7,0

66,Male,4,0,1,Associate degree,4,0

35,Female,6,0,0,Bachelor’s degree,7,1

66,Female,5,0,1,Bachelor’s degree,8,0

52,Male,1,0,0,Doctoral degree,3,0

68,Male,1,0,0,Bachelor’s degree,1,0

66,Female,5,0,1,Master’s degree,7,0

31,Female,2,0,1,Associate degree,4,0

49,Female,8,1,1,Master’s degree,6,1

42,Female,4,0,1,"Some college, no degree",1,0

29,Female,7,1,1,High school diploma or equivalent,4,1

64,Male,6,0,1,Less than high school,9,0

28,Female,5,0,0,High school diploma or equivalent,3,1

73,Female,3,0,0,Bachelor’s degree,1,1

55,Male,8,1,1,Associate degree,2,1

22,Female,3,0,0,Master’s degree,6,0

76,Female,5,1,1,Master’s degree,5,0

42,Male,5,1,0,"Some college, no degree",8,0

29,Female,7,0,1,High school diploma or equivalent,3,1

59,Male,9,0,1,Doctoral degree,7,1

56,Female,3,0,0,Associate degree,2,1

42,Male,5,0,0,Bachelor’s degree,0,1

76,Male,5,1,0,Doctoral degree,4,1

26,Male,6,1,1,Master’s degree,5,0

25,Male,9,0,1,Doctoral degree,7,1

26,Female,5,1,1,Associate degree,6,0

23,Male,4,1,1,Doctoral degree,4,0

51,Male,6,1,0,Less than high school,6,0

59,Male,6,1,0,Doctoral degree,0,1

64,Male,9,0,1,Doctoral degree,9,1

23,Male,6,0,1,Associate degree,0,1

44,Female,9,0,1,"Some college, no degree",8,1

39,Male,6,0,0,Bachelor’s degree,9,1

76,Female,1,1,0,Associate degree,2,0

41,Male,2,0,0,Less than high school,1,0

65,Female,4,0,1,High school diploma or equivalent,3,0

59,Male,10,1,1,Associate degree,5,1

67,Female,7,1,1,Bachelor’s degree,4,1

43,Female,3,1,1,Doctoral degree,0,0

58,Male,5,1,0,Associate degree,9,0

70,Male,8,0,1,Doctoral degree,6,1

65,Female,8,1,1,High school diploma or equivalent,2,1

60,Male,10,1,1,Master’s degree,6,1

65,Male,7,1,1,Less than high school,8,0

31,Female,2,1,0,High school diploma or equivalent,3,0

63,Female,6,0,1,Associate degree,4,1

36,Female,3,0,0,Associate degree,8,0

70,Male,9,1,1,Less than high school,4,1

18,Male,5,0,1,Associate degree,1,0

27,Female,10,1,1,"Some college, no degree",7,1

36,Male,3,0,0,"Some college, no degree",0,0

29,Male,7,1,0,"Some college, no degree",0,1

59,Female,4,1,0,Doctoral degree,2,1

51,Female,5,0,1,Bachelor’s degree,5,0

36,Male,1,0,0,Master’s degree,4,0

57,Male,5,1,0,Associate degree,3,1

33,Male,6,0,1,Less than high school,7,0

26,Female,6,0,0,"Some college, no degree",8,1

39,Female,8,0,1,High school diploma or equivalent,6,1

24,Female,3,0,0,Less than high school,9,0

37,Female,6,1,1,Bachelor’s degree,3,1

19,Male,7,0,1,Associate degree,4,1

46,Female,6,0,1,Less than high school,2,1

35,Female,5,1,0,Master’s degree,2,1

34,Female,6,1,1,Associate degree,7,0

44,Male,2,0,0,Less than high school,1,0

31,Male,6,1,1,Associate degree,8,0

52,Female,7,0,1,Master’s degree,9,1

50,Female,5,1,1,Associate degree,6,0

28,Male,8,1,0,Less than high school,5,1

64,Female,3,1,1,Master’s degree,0,0

30,Female,7,1,0,Associate degree,9,1

69,Female,5,1,0,Doctoral degree,2,1

33,Female,8,1,1,Master’s degree,7,1

21,Female,6,1,1,Less than high school,1,0

75,Female,5,1,1,Associate degree,9,0

53,Male,8,0,1,Less than high school,0,1

71,Male,5,1,0,Less than high school,5,0

66,Female,8,1,1,"Some college, no degree",3,1

65,Female,8,1,1,"Some college, no degree",4,1

21,Female,7,0,0,Less than high school,8,1

62,Male,9,0,1,"Some college, no degree",9,1

67,Male,5,0,1,High school diploma or equivalent,4,0

61,Female,3,1,0,"Some college, no degree",0,0

54,Female,7,1,1,"Some college, no degree",0,1

20,Female,6,0,0,Associate degree,8,1

25,Male,7,1,0,"Some college, no degree",3,1

35,Male,9,0,1,Master’s degree,6,1

72,Male,5,1,0,Doctoral degree,3,1

22,Female,8,1,1,Master’s degree,0,1

27,Male,3,0,1,Doctoral degree,4,0

73,Female,3,0,1,Doctoral degree,2,0

77,Female,3,0,0,High school diploma or equivalent,5,0

32,Female,3,0,1,Less than high school,1,0

71,Male,2,0,0,Doctoral degree,1,0

46,Male,7,0,0,Associate degree,8,1

68,Female,3,1,0,Bachelor’s degree,6,0

77,Male,6,1,0,High school diploma or equivalent,0,1

65,Female,4,0,0,Less than high school,2,1

